AgendaEventos_CodAgenda;Agenda;CodAgenda;AgendaEventos;CodAgenda
AgendaEventosAtendimento_NumEvento;AgendaEventos;NumEvento;AgendaEventosAtendimento;NumEvento
AgendaEventosProdutos_NumEvento;AgendaEventos;NumEvento;AgendaEventosProdutos;NumEvento
AgendaEventosUsuarios_NumEvento;AgendaEventos;NumEvento;AgendaEventosUsuarios;NumEvento
FK_NotaEntradaAjusteICMS_AjusteICMSDocumentoFiscal;AjusteICMSDocumentoFiscal;CodAjuste;NotaEntradaAjusteICMS;CodAjuste
FK_NotaSaidaAjusteICMS_AjusteICMSDocumentoFiscal;AjusteICMSDocumentoFiscal;CodAjuste;NotaSaidaAjusteICMS;CodAjuste
aPagarAnexos_Numero;aPagar;CodCredor;aPagarAnexos;CodCredor
aPagarAnexos_Numero;aPagar;CodEmpresa;aPagarAnexos;CodEmpresa
aPagarAnexos_Numero;aPagar;Desdobramento;aPagarAnexos;Desdobramento
aPagarAnexos_Numero;aPagar;Numero;aPagarAnexos;Numero
aPagarAutorizacoes_Numero;aPagar;Numero;aPagarAutorizacoes;Numero
aPagarAutorizacoes_Numero;aPagar;Desdobramento;aPagarAutorizacoes;Desdobramento
aPagarAutorizacoes_Numero;aPagar;CodEmpresa;aPagarAutorizacoes;CodEmpresa
aPagarAutorizacoes_Numero;aPagar;CodCredor;aPagarAutorizacoes;CodCredor
FK_aPagarBaixa_aPagar;aPagar;CodCredor;aPagarBaixa;CodCredor
FK_aPagarBaixa_aPagar;aPagar;CodEmpresa;aPagarBaixa;CodEmpresa
FK_aPagarBaixa_aPagar;aPagar;Desdobramento;aPagarBaixa;Desdobramento
FK_aPagarBaixa_aPagar;aPagar;Numero;aPagarBaixa;Numero
FK_aPagarDevolucao_aPagar;aPagar;Desdobramento;aPagarDevolucao;Desdobramento
FK_aPagarDevolucao_aPagar;aPagar;Numero;aPagarDevolucao;Numero
FK_aPagarDevolucao_aPagar;aPagar;CodCredor;aPagarDevolucao;CodCredor
FK_aPagarDevolucao_aPagar;aPagar;CodEmpresa;aPagarDevolucao;CodEmpresa
aPagarDistribFinanceira_Numero;aPagar;CodEmpresa;aPagarDistribFinanceira;CodEmpresa
aPagarDistribFinanceira_Numero;aPagar;CodCredor;aPagarDistribFinanceira;CodCredor
aPagarDistribFinanceira_Numero;aPagar;Numero;aPagarDistribFinanceira;Numero
aPagarDistribFinanceira_Numero;aPagar;Desdobramento;aPagarDistribFinanceira;Desdobramento
aPagarPISCOFINS_Numero;aPagar;Desdobramento;aPagarPISCOFINS;Desdobramento
aPagarPISCOFINS_Numero;aPagar;Numero;aPagarPISCOFINS;Numero
aPagarPISCOFINS_Numero;aPagar;CodEmpresa;aPagarPISCOFINS;CodEmpresa
aPagarPISCOFINS_Numero;aPagar;CodCredor;aPagarPISCOFINS;CodCredor
FK_aPagarRastreamentoEletronico_aPagar;aPagar;CodEmpresa;aPagarRastreamentoEletronico;CodEmpresa
FK_aPagarRastreamentoEletronico_aPagar;aPagar;CodCredor;aPagarRastreamentoEletronico;CodCredor
FK_aPagarRastreamentoEletronico_aPagar;aPagar;Numero;aPagarRastreamentoEletronico;Numero
FK_aPagarRastreamentoEletronico_aPagar;aPagar;Desdobramento;aPagarRastreamentoEletronico;Desdobramento
Mesas_CodAreaMesa;AreasMesas;CodAreaMesa;Mesas;CodAreaMesa
Mesas_CodAreaMesa;AreasMesas;CodEmpresa;Mesas;CodEmpresa
FK_aReceberAnexos_aReceber;aReceber;CodEmpresa;aReceberAnexos;CodEmpresa
FK_aReceberAnexos_aReceber;aReceber;Desdobramento;aReceberAnexos;Desdobramento
FK_aReceberAnexos_aReceber;aReceber;Numero;aReceberAnexos;Numero
FK_aReceberBaixa_aReceber;aReceber;Numero;aReceberBaixa;Numero
FK_aReceberBaixa_aReceber;aReceber;Desdobramento;aReceberBaixa;Desdobramento
FK_aReceberBaixa_aReceber;aReceber;CodEmpresa;aReceberBaixa;CodEmpresa
FK_aReceberCobranca_aReceber;aReceber;CodEmpresa;aReceberCobranca;CodEmpresa
